,country,date,cases
42737,China,2/24/23,4903523
42738,China,2/25/20,77754
42739,China,2/25/21,108866
42740,China,2/25/22,217932
42741,China,2/25/23,4903524
42742,China,2/26/20,78166
42743,China,2/26/21,108906
42744,China,2/26/22,292792
42745,China,2/26/23,4903524
42746,China,2/27/20,78600
42747,China,2/27/21,108950
42748,China,2/27/22,344032
42749,China,2/27/23,4903524
42750,China,2/28/20,78928
42751,China,2/28/21,108997
42752,China,2/28/22,400569
42753,China,2/28/23,4903524
42754,China,2/29/20,79356
42755,China,2/3/20,19716
42756,China,2/3/21,108012
42757,China,2/3/22,135008
42758,China,2/3/23,4903505
42759,China,2/4/20,23707
42760,China,2/4/21,108060
42761,China,2/4/22,135216
42762,China,2/4/23,4903507
42763,China,2/5/20,27440
42764,China,2/5/21,108135
42765,China,2/5/22,135663
42766,China,2/5/23,4903507
42767,China,2/6/20,30587
42768,China,2/6/21,108174
42769,China,2/6/22,136115
42770,China,2/6/23,4903509
42771,China,2/7/20,34110
42772,China,2/7/21,108226
42773,China,2/7/22,136880
42774,China,2/7/23,4903513
42775,China,2/8/20,36814
42776,China,2/8/21,108288
42777,China,2/8/22,137648
42778,China,2/8/23,4903515
42779,China,2/9/20,39829
42780,China,2/9/21,108342
42781,China,2/9/22,138855
42782,China,2/9/23,4903516
42783,China,3/1/20,79932
42784,China,3/1/21,109034
42785,China,3/1/22,456582
42786,China,3/1/23,4903524
42787,China,3/10/20,80887
42788,China,3/10/21,109350
42789,China,3/10/22,932696
42790,China,3/11/20,80921
42791,China,3/11/21,109390
42792,China,3/11/22,963302
42793,China,3/12/20,80932
42794,China,3/12/21,109464
42795,China,3/12/22,992569
42796,China,3/13/20,80945
42797,China,3/13/21,109538
42798,China,3/13/22,1028437
42799,China,3/14/20,80977
42800,China,3/14/21,109577
42801,China,3/14/22,1057573
42802,China,3/15/20,81003
42803,China,3/15/21,109628
42804,China,3/15/22,1090400
42805,China,3/16/20,81033
42806,China,3/16/21,109655
42807,China,3/16/22,1123895
42808,China,3/17/20,81058
42809,China,3/17/21,109686
42810,China,3/17/22,1147435
42811,China,3/18/20,81102
42812,China,3/18/21,109713
42813,China,3/18/22,1171570
42814,China,3/19/20,81156
42815,China,3/19/21,109735
42816,China,3/19/22,1193563
42817,China,3/2/20,80136
42818,China,3/2/21,109061
42819,China,3/2/22,533295
42820,China,3/2/23,4903524
42821,China,3/20/20,81250
42822,China,3/20/21,109762
42823,China,3/20/22,1210422
42824,China,3/21/20,81305
42825,China,3/21/21,109781
42826,China,3/21/22,1228883
42827,China,3/22/20,81435
42828,China,3/22/21,109815
42829,China,3/22/22,1249958
42830,China,3/23/20,81493
42831,China,3/23/21,109850
42832,China,3/23/22,1266606
42833,China,3/24/20,81587
42834,China,3/24/21,109878
42835,China,3/24/22,1283788
42836,China,3/25/20,81658
42837,China,3/25/21,109906
42838,China,3/25/22,1299036
42839,China,3/26/20,81781
42840,China,3/26/21,109960
42841,China,3/26/22,1313471
42842,China,3/27/20,81872
42843,China,3/27/21,110001
42844,China,3/27/22,1327092
42845,China,3/28/20,81964
42846,China,3/28/21,110029
42847,China,3/28/22,1340972
42848,China,3/29/20,82058
42849,China,3/29/21,110060
42850,China,3/29/22,1355883
42851,China,3/3/20,80261
42852,China,3/3/21,109101
42853,China,3/3/22,610697
42854,China,3/3/23,4903524
42855,China,3/30/20,82139
42856,China,3/30/21,110081
42857,China,3/30/22,1371807
42858,China,3/31/20,83786
42859,China,3/31/21,110109
42860,China,3/31/22,1385495
42861,China,3/4/20,80386
42862,China,3/4/21,109131
42863,China,3/4/22,683791
42864,China,3/4/23,4903524
42865,China,3/5/20,80537
42866,China,3/5/21,109162
42867,China,3/5/22,751844
42868,China,3/5/23,4903524
42869,China,3/6/20,80690
42870,China,3/6/21,109207
42871,China,3/6/22,792163
42872,China,3/6/23,4903524
42873,China,3/7/20,80770
42874,China,3/7/21,109248
42875,China,3/7/22,829306
42876,China,3/7/23,4903524
42877,China,3/8/20,80823
42878,China,3/8/21,109280
42879,China,3/8/22,868818
42880,China,3/8/23,4903524
42881,China,3/9/20,80860
42882,China,3/9/21,109315
42883,China,3/9/22,899945
42884,China,3/9/23,4903524
42885,China,4/1/20,84002
42886,China,4/1/21,110169
42887,China,4/1/22,1400358
42888,China,4/10/20,85115
42889,China,4/10/21,110536
42890,China,4/10/22,1597094
42891,China,4/11/20,85208
42892,China,4/11/21,110587
42893,China,4/11/22,1626085
42894,China,4/12/20,85377
42895,China,4/12/21,110619
42896,China,4/12/22,1652078
42897,China,4/13/20,85489
42898,China,4/13/21,110658
42899,China,4/13/22,1682737
42900,China,4/14/20,85569
42901,China,4/14/21,110683
42902,China,4/14/22,1713300
42903,China,4/15/20,85668
42904,China,4/15/21,110715
42905,China,4/15/22,1738527
42906,China,4/16/20,85774
42907,China,4/16/21,110778
42908,China,4/16/22,1762757
42909,China,4/17/20,86187
42910,China,4/17/21,110829
42911,China,4/17/22,1787635
42912,China,4/18/20,86258
42913,China,4/18/21,110881
42914,China,4/18/22,1811382
42915,China,4/19/20,86321
42916,China,4/19/21,110916
42917,China,4/19/22,1832597
42918,China,4/2/20,84129
42919,China,4/2/21,110235
42920,China,4/2/22,1414142
42921,China,4/20/20,86382
42922,China,4/20/21,110952
42923,China,4/20/22,1849430
42924,China,4/21/20,86452
42925,China,4/21/21,110966
42926,China,4/21/22,1869000
42927,China,4/22/20,86508
42928,China,4/22/21,111014
42929,China,4/22/22,1888027
42930,China,4/23/20,86548
42931,China,4/23/21,111053
42932,China,4/23/22,1911669
42933,China,4/24/20,86594
42934,China,4/24/21,111079
42935,China,4/24/22,1933414
42936,China,4/25/20,86632
42937,China,4/25/21,111110
42938,China,4/25/22,1953258
42939,China,4/26/20,86661
42940,China,4/26/21,111142
42941,China,4/26/22,1970377
42942,China,4/27/20,86692
42943,China,4/27/21,111172
42944,China,4/27/22,1983788
42945,China,4/28/20,86754
42946,China,4/28/21,111211
42947,China,4/28/22,1994593
42948,China,4/29/20,86783
42949,China,4/29/21,111252
42950,China,4/29/22,2005524
42951,China,4/3/20,84265
42952,China,4/3/21,110273
42953,China,4/3/22,1430893
42954,China,4/30/20,86828
42955,China,4/30/21,111290
42956,China,4/30/22,2015624
42957,China,4/4/20,84363
42958,China,4/4/21,110327
42959,China,4/4/22,1446956
42960,China,4/5/20,84467
42961,China,4/5/21,110382
42962,China,4/5/22,1466859
42963,China,4/6/20,84611
42964,China,4/6/21,110405
42965,China,4/6/22,1490014
42966,China,4/7/20,84692
42967,China,4/7/21,110442
42968,China,4/7/22,1515913
42969,China,4/8/20,84909
42970,China,4/8/21,110474
42971,China,4/8/22,1541981
42972,China,4/9/20,85024
42973,China,4/9/21,110513
42974,China,4/9/22,1569185
42975,China,5/1/20,86850
42976,China,5/1/21,111325
42977,China,5/1/22,2024284
42978,China,5/10/20,86973
42979,China,5/10/21,111558
42980,China,5/10/22,2070480
42981,China,5/11/20,86980
42982,China,5/11/21,111596
42983,China,5/11/22,2072376
42984,China,5/12/20,87002
42985,China,5/12/21,111614
42986,China,5/12/22,2074583
42987,China,5/13/20,87016
42988,China,5/13/21,111637
42989,China,5/13/22,2077182
42990,China,5/14/20,87032
42991,China,5/14/21,111674
42992,China,5/14/22,2079353
42993,China,5/15/20,87052
42994,China,5/15/21,111720
42995,China,5/15/22,2081192
42996,China,5/16/20,87070
42997,China,5/16/21,111766
42998,China,5/16/22,2082624
42999,China,5/17/20,87092
43000,China,5/17/21,111803
43001,China,5/17/22,2084058
43002,China,5/18/20,87119
43003,China,5/18/21,111832
43004,China,5/18/22,2085584
43005,China,5/19/20,87135
43006,China,5/19/21,111857
43007,China,5/19/22,2086877
43008,China,5/2/20,86858
43009,China,5/2/21,111354
43010,China,5/2/22,2031342
43011,China,5/20/20,87151
43012,China,5/20/21,111897
43013,China,5/20/22,2088229
43014,China,5/21/20,87190
43015,China,5/21/21,111933
43016,China,5/21/22,2089569
43017,China,5/22/20,87235
43018,China,5/22/21,111975
43019,China,5/22/22,2090677
43020,China,5/23/20,87266
43021,China,5/23/21,112014
43022,China,5/23/22,2091649
43023,China,5/24/20,87313
43024,China,5/24/21,112051
43025,China,5/24/22,2092491
43026,China,5/25/20,87360
43027,China,5/25/21,112082
43028,China,5/25/22,2093305
